CATEGORY,INDEX,NORAD_CAT_ID_1,OBJECT_NAME_1,SHAPE_1,OBJECT_CLASS_1,NORAD_CAT_ID_2,OBJECT_NAME_2,SHAPE_2,OBJECT_CLASS_2,TCA,TCA_RANGE,TCA_RELATIVE_SPEED,DILUTION,RADIUS_1,RADIUS_2,HBR,PC_CELESTRAK,PC_SPACEMAP,ERROR(RATIO)
spacemap,465,57202,CSTP 1.1 (STC 1.1) [+],,Unknown,57302,STARLINK-30233 [+],Unknown,Unknown,2023-09-27 17:47:51.911,0.4112337540908383,10.595,0.129,0.001,0.0015,0.0025,1.964e-05,4.078544507944851e-05,2.076651989788621
Celestrak,466,56702,STARLINK-30117 [+],,Unknown,45831,FREGAT DEB [-],Unknown,Unknown,2023-09-28 19:19:38.109,0.412,4.037,0.101,0.001,0.0003,0.0013,2.503e-05,1.0986282548712234e-05,0.0
spacemap,466,56702,STARLINK-30117 [+],,Unknown,45831,FREGAT DEB [-],Unknown,Unknown,2023-09-28 19:19:38.109,0.4120293130314579,4.037,0.101,0.001,0.0003,0.0013,2.503e-05,1.0986282548712234e-05,0.43892459243756426
Celestrak,503,56919,STARLINK-5966 [+],,Unknown,41339,CHUBUSAT-3 [-],Unknown,Unknown,2023-09-28 04:13:07.037,0.429,2.966,0.103,0.001,0.0015,0.0025,2.354e-05,3.742022530814617e-05,0.0
spacemap,503,56919,STARLINK-5966 [+],,Unknown,41339,CHUBUSAT-3 [-],Unknown,Unknown,2023-09-28 04:13:07.037,0.4293279390049295,2.966,0.103,0.001,0.0015,0.0025,2.354e-05,3.742022530814617e-05,1.5896442356901515
Celestrak,536,57627,HEAD-3B [+],,Unknown,36047,COSMOS 2251 DEB [-],Unknown,Unknown,2023-09-29 11:55:20.691,0.443,4.656,0.109,0.001,0.0003,0.0013,2.148e-05,9.488868214533754e-06,0.0
spacemap,536,57627,HEAD-3B [+],,Unknown,36047,COSMOS 2251 DEB [-],Unknown,Unknown,2023-09-29 11:55:20.691,0.44335001826782894,4.656,0.109,0.001,0.0003,0.0013,2.148e-05,9.488868214533754e-06,0.44175364127252115
Celestrak,545,57237,STARLINK-6365 [+],,Unknown,39790,IRIDIUM 33 DEB [-],Unknown,Unknown,2023-09-26 07:10:52.021,0.45,5.58,0.113,0.001,0.0003,0.0013,2.043e-05,9.201155668693238e-06,0.0
spacemap,545,57237,STARLINK-6365 [+],,Unknown,39790,IRIDIUM 33 DEB [-],Unknown,Unknown,2023-09-26 07:10:52.021,0.4502283455961913,5.58,0.113,0.001,0.0003,0.0013,2.043e-05,9.201155668693238e-06,0.45037472680828383
Celestrak,548,56941,OBJECT K [+],,Unknown,34868,IRIDIUM 33 DEB [-],Unknown,Unknown,2023-09-26 10:13:40.998,0.451,10.187,0.137,0.001,0.0003,0.0013,1.678e-05,9.158952961047302e-06,0.0
spacemap,548,56941,OBJECT K [+],,Unknown,34868,IRIDIUM 33 DEB [-],Unknown,Unknown,2023-09-26 10:13:40.998,0.4512644495371921,10.187,0.137,0.001,0.0003,0.0013,1.678e-05,9.158952961047302e-06,0.5458255638288023
Celestrak,552,57641,STARLINK-30312 [+],,Unknown,36258,FENGYUN 1C DEB [-],Unknown,Unknown,2023-09-26 00:31:12.921,0.453,11.138,0.147,0.001,0.0003,0.0013,1.558e-05,9.084751444905074e-06,0.0
