INDEX,TCA_RANGE,TCA_RELATIVE_SPEED,HBR_SPACEMAP,HBR_CELESTRAK,PC_SPACEMAP,PC_CELESTRAK,ERROR(RATIO),NORAD_CAT_ID_1,OBJECT_NAME_1,OBJECT_CLASS_1,SHAPE_1,SPAN_1,DIAMETER_1,HEIGHT_1,WIDTH_1,DEPTH_1,NORAD_CAT_ID_2,OBJECT_NAME_2,OBJECT_CLASS_2,SHAPE_2,SPAN_2,DIAMETER_2,HEIGHT_2,WIDTH_2,DEPTH_2
1513,0.728,0.003,0.0017576614559902,0.0026784114559919,6.433253649914749e-06,1.494e-05,0.4306060006636378,57190,NANOZOND 1 (RS49S) [+],Unknown,,,,,,,57205,ARCCUBE 1 (RS25S) [+],Unknown,,,,,,
1523,0.731,12.58,0.0017576614559902,0.0015805114559905,6.380558735758352e-06,5.159e-06,1.236782077099894,56380,STARLINK-6161 [+],Unknown,,,,,,,22547,SL-16 DEB [-],Rocket Fragmentation Debris,,,,,,
1524,0.731,13.778,0.0017576614559902,0.0010045114559914,6.380558735758352e-06,2.084e-06,3.0616884528590944,56707,STARLINK-30070 [+],Unknown,,,,,,,40041,FLOCK 1C-3 [-],Payload,Box + 2 Pan,0.3,,0.3,0.1,0.1
1530,0.733,1.727,0.0017576614559902,0.00199296145599,6.345787663131397e-06,8.159e-06,0.7777653711400169,57185,A-SEANSAT-PG 1 [+],Unknown,,,,,,,30338,FENGYUN 1C DEB [-],Payload Fragmentation Debris,,,,,,
1544,0.736,12.617,0.0017576614559902,0.0015741114559905,6.294161572110157e-06,5.048e-06,1.246862435045594,56906,STARLINK-6098 [+],Unknown,,,,,,,38013,ASAP-S [-],Rocket Mission Related Object,Cyl,1.2,1.2,1.0,,
1567,0.741,6.213,0.0017576614559902,0.00191911145599,6.209507411939252e-06,7.403e-06,0.8387825762446646,57795,TIANQI-24 [+],Unknown,,,,,,,41257,NOAA 16 DEB [-],Payload Fragmentation Debris,,,,,,
1589,0.746,11.52,0.0017576614559902,0.0060564114559825,6.126549683563697e-06,7.274e-05,0.0842253187182251,56390,STARLINK-6300 [+],Unknown,,,,,,,25979,ARIANE 40 R/B [-],Rocket Body,Cyl,11.0,2.6,11.0,,
1590,0.746,12.675,0.0017576614559902,0.0015692114559905,6.126549683563697e-06,4.883e-06,1.2546691958967229,57106,STARLINK-6118 [+],Unknown,,,,,,,57201,SITRO-AIS 9 (SHCHUKIN) [+],Unknown,,,,,,
1601,0.748,13.241,0.0017576614559902,0.0015054114559906,6.093831456643174e-06,4.47e-06,1.3632732565197256,57174,OBJECT J [+],Unknown,,,,,,,57220,STARLINK-5880 [+],Unknown,,,,,,
1603,0.749,12.931,0.0017576614559902,0.0015293614559906,6.077570540274287e-06,4.601e-06,1.320923829661875,56712,ONEWEB-0676 [+],Unknown,,,,,,,33834,COSMOS 2251 DEB [-],Payload Fragmentation Debris,,,,,,
